	Review
5694	I would go straight to the section I was working in on the day and see the person in charge of the section for my instructions. Most of the time it was customer service and seeing to the customer's needs, and stocking shelves.\r     I learned more about the system on which Bunnings runs, and the sections they have within the store. I learned a lot about myself and how I relate to customers. I was doing this work experience as part of my Certificate II Retail training so I was putting what I had learned into practice. By doing what I had been trained to do I found myself enjoying the role more each day. Gained a lot of confidence knowing I could make a career from being a part of the retail industry. A lot of my past employment has been in kitchens and hospitality. I want to change my direction and work in retail or warehousing and logistics, and after my work experience I believe I have the skills to be successful in retail.\r      My co-workers at Bunnings all seemed quite happy in their roles. Everyone seemed easy to talk to and always willing to help. My supervisors were friendly and I felt comfortable. I fit in seemlessly I thought. \r     The most enjoyable part of my work experience was every day. Just to be working again and in the working environment felt really good. I have been unemployed for quite some time so it felt great being busy again, even if it was for just four days. \r     The hardest part was realising that it is just work experience. I was not getting paid wages or superannuation and it is not on a full - time, part - time or casual basis. There is no\xa0-\xa0more...
2261	A typical day at work, come in, put your belongings in your assigned locker (or if you don't have one, request a temporary from your manager), sign on, contact manager for daily/nightly duties.\r The first 3 years of employment, I learnt quite a lot, from handling angry customers to dealing with thieves and arsonists, and anything in between. Stock rotation and filling was pretty easy to understand, and the management at the time were very helpful.\r The management at Kmart leaves something to be desired. You have those that are really helpful, like the managers that originally hired me, but since Kmart underwent a shake-up in management with the refit, the management staff have been discriminatory against certain casual team members, but favorable to others.\r Co-workers can be quite selfish and rude, often disregarding the feelings of others or playing the victim when they do something wrong. They constantly provoke each other into verbal arguments, with some going as far as to challenge someone to a fight. I personally have witnessed Kmart as a whole go down the toilet.\r The hardest part of my job is constantly battling Management who think they can do whatever they want, claiming that they have the right to call people who aren't on a list of approved contacts for a specific employee, all the way to discriminating against an individual and reducing the number of shifts they get to 1 every 4 weeks just because they don't like them.\r The most enjoyable part of my job is probably the amount I get paid per hour, and that's it. Since 2014, there isn't anything else I like\xa0-\xa0more...
5257	First I started off working in the loading dock, counting stock that was being delivered and then moved the stock on pallets using various pallet jacks etc. Later on I was moved into the nursery section, where I was responsible for ordering plant stock, fertilisers, herbicides etc. I was also one of the ‘go to staff’, regarding customer queries, on plant related issues and was incharge of the water feature section, due to my thorough knowlege of aquatic plants, filtration systems and pond construction.\r I learnt to be dynamic in various roles throughout the store, using cash registers on many occasions, helping with ‘loss prevention’, I also improved on my customer relations skills, stocktake orditing and was able to use the PDA electronic devices used to count/order in new stock.\r Management were professional, team players (got involved themselves with various roles) and helped maintain a positive work environment.\r The workplace culture was that of friendly banter, including after work activities, we all worked well as team players and I found working there to be a very enjoyable place to work. They were also flexible whilst I was undergoing my undergraduate studies and gave me work on weekends, university holidays etc.\r I found the hardest part of the job was initially learning, where everything was in the huge department warehouse and putting stock in the correct aisles/sections.\r I found the whole work experience enjoyable and have fond memories of working there, with various friends from my Highschool and a wide range of personalities. The banter was fun, there\xa0-\xa0more...
4966	The atmosphere at bunnings is toxic. Managment is bullying to you, I was once mocked for not being able to pull a heavy pallet with a manual pallet jack due to a severe shoulder injury. When I told him I could not do the job and he laughed at me, he then got mad at me for not completing the job. I'm sorry but that's just toxic behaviour.Some coworkers are good, if you can relate to them. 80% of all employees just complain about their life, and are grumpy and snap at you all the time. I've been yelled at by numerous coworkers in my department for helping other departments. I've even had one coworker go to a store manager to complain that I was helping other employees? Work place gossip is real. Workers will make up rumours and spread them, and coworkers are always telling you some story about someone who's working there. A very toxic workplace. If management don't like you, they'll get rid of your shifts. When casual, I gave 3 weeks notice to go on a 3 day holiday. My manager told me that because of this he was going to cut my hours. I went from 30 hours a week to 5. All because I took a 3 day trip. By law, as a casual I had no obligation to take assigned shifts, and I even gave 3 weeks notice. They will constantly hire new employees to look good to the public. What some people don't realise that when they hire too many people, some employees aren't going to get shifts. I haven't had a single shift in a year, and they've had 4 influxes of new employees. This is often referred to as 'lost in the system' by other employees, and will happen to you if you don't suck up to the\xa0-\xa0more...
5644	This is an excellent first job workplace as they offer much support to all team members. Comprehensive training on how to use the cash registers, product knowledge and special deliveries were  done. \r A typical day of work would include meeting new and regular customers and helping them with any project they needed the tools, equipment or accessories for. \rI learned a lot of new concepts on how to handle difficult customers or customers that had problems with out services or products. I also learnt lots of things on general product knowledge. As this workplace is a warehouse, they house thousands of items that I got familiar with. For example I learnt all the different types of wood used around the home, such as decking timber, untreated pine, fencing palings and timber used for floor boards. The skills and knowledge I learnt working at Bunning's had and will help me for the rest of my life. \rManagement was always supportive and approachable. And very understanding if time off was needed. \rOnce I got comfortable in this workplace and with the other team members we had an average of 110 team members working on a 7 day roster,  they were always happy to help me when I needed it and they also taught me things. \r The hardest part of the job was the working conditions as it was in a warehouse and during summer and winter the warehouse had little protection from the water elements. Also the long shifts that I has was about 8-12 hours at a time. \r The most enjoyable part of this job was meeting friends while working that I am still friends with.  And also gaining valuable\xa0-\xa0more...
1568	A Typical Day At Work - Arrive to staff who are quick to whinge about the store happenings, other staff, even some managers and their personal business. Then run your bejeeses off to do your own job plus what these staff have not done but should have even when it is not a part of your job description, being very careful not to be seen leaving your position to do the other staff's jobs because you know you will get screamed at right in your face right there no matter who is around, customers etc. You do it for the team, the store, the company, the customers but you also do it because you know you will also get screamed at right in your face if it is not done. Otherwise there is poor to no communication.\r What I Learned, the Workplace Culture is - my previous comments plus how to juggle a shocked like interest while not actually participating. Knowing that everyone gets a turn at being bullied Most not all of the Managers play favourites and allow their fav's to do pretty much whatever they like then reward their laziness, lying bullies. There is very poor communication.\r The Hardest Part Of The Job is - the workplace culture, the constant anxiety about when you are going to be screamed at, when the filthy gossip is going to be about you. Knowing that nothing you do is going to be noticed, recognised or rewarded. There is no real communication.\r The Most Enjoyable Part Of The Job is - own self satisfaction that I've done all I can do, I give 110% each and every shift and for the most part the customers (Even some staff) still being able to have a laugh.\r **The managers\xa0-\xa0more...
5524	It can be full on with split shifts covering breaks as I do now.\rWhen in Trade it is full on, because you are doing more than your share of work as you could be the only person at the desk for an hr at a time or in my case I did a 3 person job on my own on a weekend.\r I learned very quickly you get shown what is relevant and its sink or swim. I have learnt so much as I can do the job of 3 to 4 people on my own as there is never enough staff to assist me on a weekend so I run the Trade Desk on my own. I own my job and responsibilities.\r As management had changed over we have been settled with bullies and too much problems with rosters. There is no longer work life balance.\r Co-workers are the best I have a relationship with everyone in the store as I can ask for any item from any department at any time of the day and the team members always deliver as I have seen on different occasions I have never seen this for other Trade Team Members.\r Hardest part of the job is to complete work that someone else had started and they are not full time so you can not ask and work out what to do so you use your common scene to make sure your customer still gets be very best of your service associated with the company. My customer always come first.\r When we have a special occasion like fruit day or we have reached a mile stone in the company. Like my favorite is when we have targets for surveys or something happening for the Tradies I get target my best as a team is we hit just for our department the One million dollar mark and as a bonus for the last day of the month I worked that\xa0-\xa0more...
3946	"A typical day included Store Audit work, selling tickets to customers through our Ticketmaster Outlet, speaking to GECFA to assist customers with accounts, assisting customers with layby pickups and payments, storing layby parcels and updating system, PA announcements, answering switchboard, liaising with security staff and Tasmania Police, supervising transfer of large amounts of cash from store safe during Armaguard pickup. Taking part in scan counts.\r I learned so much at Myer, including how to be patient but firm with even the most difficult customer and I took great pride in being able to have that customer leave the store happy.  Giving quality customer service then led to the customer returning to the store and therefore further sales.\r Management were fantastic and I was proud to call them my friends.  They showed great empathy when needed and were great role models for all staff.\r My fellow co-workers were amazing to work with and were all team players.  We were all on the same page when it came to giving exceptional customer service and treating customers with respect.\r The hardest part of the job was that sometimes the general office were so snowed under with the sheer amount of layby parcels at sale times, we struggled to get them into the layby reserve with store hours, so I found coming in and hour and a half prior to the store opening gave me the time to do this while it was quiet!  The Store Manager actually commended me on this one morning and he said ""now this is what I mean by staff loyalty"".  I did this in my own time happily and received no extra\xa0-\xa0more..."
1106	Started in 2016 when you use to get 4-6 hr shifts which was once or twice a week I was pretty young at that point just doing checkouts, eventually doing various other jobs in front area. It was always extremely difficult to get consistent days or shifts. Usually 3 hrs for a long time until I proved I was able to come in a lot after a couple of years. The management team usually forgot when I took leave or couldn't work and got extremely annoyed and blamed me for not logging it even after I emailed, called, texted multiple times so they didn't forget.  The only way to get consistent shifts was being aged 14 or putting down you could work virtually everyday. I often got texts or lots of calls the day of to come in if someone younger cancelled and I was the last resort which being in uni and doing sport was extremely stressful when I had a schedule.     I continued on into my first couple years of uni and the only reason I got lots of shifts was because I worked most days and felt worried I wouldn't have a job or enough money to do things if I didn't show. It got so ridiculous with me being ignored about my hours that some managers would constantly go on about how coming to work was more important than doing work for my degree. I will say they mad it very difficult to say no and made me feel and leaving other staff to deal with the mess of being understaffed or new team member with no one to train them. Towards the end I will say since I worked so much I definitely made some lovely friends and the people outside of the management team were always very caring.Definitely\xa0-\xa0more...
3938	* Typical day at work:\rArriving well before the doors open to ensure the store is ready for trade. refilling all stock and sizing it in order, ensuring that the product is presented to company standards. Cleaning and general house keeping jobs. Rosters and staffing. Selling the product. working to sales targets and keeping in or below wage budgets. dealing with customer including costumer complaints.\r* What I've Learnt:\rI have learnt that you need to be well prepared for that day so when the store opens everything is ready and this often means doing extra work your self. it is extremely important to train your staff well as your team is only as good as its weakest member.\r* Management\rI have really enjoyed being in a management position I find it is much like the way I teach in a classroom as it is a collaboration or everyone ideas, but at the end of the day I am the decision maker and it rides on my shoulders. I have a excellent working relationship with my state manager. I am not afraid to ask or to question when I need to. \r*Co- Workers\rI have excellent relationships with my co workers. we have established an relaxed work atmosphere and I find this lifts productivity as they are eager to please and work hard to achieve results.\r*Hardest Part of the job\rManaging stock levels. We encounter a great deal of theft in the city stores even with cctv and security tags and it is frustrating.so we have put in place other strategies to help prevent loss. \r* Most Enjoyable \rWorking with and around different and diverse groups of people I find fascinating.
112	A typical day at work:\rFor those that work for online, barely any help is provided to them. For those that work in hard goods there might be 1 or 2 people covering all the departments. Lucky to ever see 3 employees for that area. Being told how to do simple tasks that you never get wrong nor neglect. Being over worked and constantly hearing people call in sick. Work cages/rails 24/7 and never doing your other jobs other than tidy.\r What you learned:\rHow to tidy, present and maintain a department. And how to not run a store, and of course how to run a store.\r Management:\rBarely on the floor. Tend to scream and belittle employees. One manager likes to tell people how to do their job all the time for the most simple of jobs. Like how to print, scan an item. Regardless of those people all ready knowing how to do it. Lack of discipline on the floor due to absence of management on floor. Regional manager also part of the problem at Target North Lakes.\r Workplace Culture:\r1 year ago and beyond into the past, good workplace culture. Now, toxic and demoralizing. Employees appear not interested in work due to being demoralized and management. \r The hardest part of the job:\rThe workplace's culture and management.\r The most enjoyable part of the job:\rBeing able to actually work in your assigned department and serving customers that need assistance instead of tidying, working palates and working cages/rails 24/7. Also includes the overloaded back dock with it's contents dating back many months and never being worked onto the floor.
1378	Kmart hired me in November 2016\r Since then I have learnt heaps of skills that will set me up for future jobs. They have taught me how to communicate with customers properly (making them feel welcomed, and making them feel important), they've made me who I am today, being a strong, hardworking, team player. \r A typical day at work down at the Service Desk starts off pretty easy going, meaning we have a few great customers here and there, but we can manage to do some soiled and damaged items ( items that need to be marked down due to being opened or even having stains ect) and also being able to bring some of the stock from out the back stock room and onto the floor. About 11am it picks up and we start to serve more and more customers mainly for laybuys or returns. \rThe Checkout area is mainly just serving customers, and doing change orders and code 10s (depositing money) \r Management is great for Kmart \rthe managers all seem to talk to you and make you feel welcomed, and they congratulate you for doing your job.\r Hardest part of the job would be when we have to do stocktake (scanning items individually throughout the whole store) you can't afford to stuff up otherwise you'll get written down.\r Most enjoyable part of the job would be making the customers happy and getting a compliment after your shift has finished. I love making customers feel welcomed to the store and making them feel at ease. It's a good feeling when they say that they are coming back to the store due to your great customer assistance.
1873	"Kmart is a wonderful place for a person looking to begin their career in retail. It provides a detailed education in the responsibilities of working in retail, an in depth understanding of the hierarchy in retail and exposure to a variety of customer service experiences. \r HOWEVER\r Personally I\'ve found the team at Kmart to have such an unhappy and unenthusiastic attitude to their work and the company. I believe this is due to the feeling of segregation between social classes within the team as well as an inapproachable management staff. OVER NINE TIMES I\'ve officially and formally enquired about further training and more shifts, each time being promised that management and admin would look into it however I never received any response, in fact the same people I had previously asked had seemingly ""forgotten"" about my questions despite me writing polite notes to serve as reminders to these particular staff members (that they\'ve obviously discarded). When I went to present my questions and complaints to higher management I was turned around with nothing but another empty promise that they\'ll look into it. It\'s been over a month since I\'ve been rostered or contacted for a shift and despite me asking about the reason behind my lack of work and when I could next have a shift, nothing has come of it.\r In conclusion I believe that Kmart is a great place to start working in retail but I suggest that after gaining enough experience and training an employee should move on to a more secure and comfortable job."
5609	"I had the misfortune of being employed for the opening of a new store in Coffs Harbour. When in group interviews and orientations, management couldn\'t be friendlier, but that disappears once you start working. After so much training on safety, I was shocked to be refused a pair of safety gloves for cleaning up timber with exposed nails during the store set up. I was sworn at more than once by my co-ordinator and constantly harassed and bullied and my roster would change literally overnight, no phone call, just altered on the online roster. meaning I was away on 2 days off, and had to come straight home for a 3 hour shift. \rIn the third week a customer asked if we had any more of a certain product or when we would. My Co-ordinator told me ""I dunno, ask someone else"". I did, and was told it would be ordered but we don\'t give any ETA. I was embarrassed and felt sorry for the customer. \rWe were also told at induction we\'d be employed as casuals at $26ph, but then were individually asked to sign temporary contracts for set hours at $21ph. If these were not signed there\'d be no guaranteed work at all. After this 8 week period I was offered a permanent 20 hour contract at $21ph, I declined and was told I couldn\'t expect any shifts. After I resigned I went back to get a separation certificate and was told they\'d put it in the mail. I\'m still waiting after 3 months. \rTo be fair, a lot of this negativity had to do with 1 co-ordinator. I\'m sure some stores are run much more professionally and respectfully."
2620	Work started at 10am an finished at 6pm. Firstly I would go at the back to the apparel processing place and count the amount of pallets that came in the night before then I would consult my manager about how many of those pallets needed to be broken down and if there was anything else that needed to be done in the day. \rI learned how to become a team leader and within that I would look at how many cages/racks they were doing to the number that needed to be done in that day and try to make the limit in the best way. I also got my Forklift License through Kmart because when I first started I worked out the loading bay where the pallets came in and help out with customer's orders. \rThe manager's that I worked under including the store manager were always happy to help me out with any problems that I had or if there was anything I needed them to hear. The people I worked with were very nice people. They all had different nationality's and were from different age groups.They didn't hesitate to ask for my help if there was something they needed help with or any queries that I could help them out with to do with work.\rThe hardest part of my job would have to be the amount of pallets that had to be broken down because sometime's there was a lot to do and there wasn't enough time in the shift to be able to break them down.\rThe most enjoyable part of the job would have been being able to go into work, enjoy the job I did do, work with really good hard working people that always had a smile on their face.
2440	I learnt at Kmart Sunnybank that a team is only as good as their leader and that communication is vital for success. I was also taught that if a team member did something wrong then the leader wasn't able to communicate it effectively therefore responsibility lies with the leader. At this particular Kmart all the staff were friendly right through all age groups and everyone was able to work with a smile. \r I learnt that transitioning from a replenishment team member to shift runner that although I might be able to do something better than someone else doesn't mean I do it because then the employee won't learn and I'll be doing something which might not be as important for the night to run smoothly.\r As far as management goes, there is always someone above someone else on the hierarchy of bosses and that although one thing may not be favorable, if the boss says it, you do it.\r My co-workers were great here however as I get older I've noticed that there aren't too many other people my age as Kmart prefers to get younger people who are still capable of doing the same work at a much lower rate.\r The hardest part of the job would be trying to meet a deadline which can sometimes be exceptionally challenging on a daily basis. For this job it was getting 27 cages @ 8 cages/per person done with three people.\r Most enjoyable part of this job is when we rise to the challenge and complete all tasks. It's also got a lot of good people who work at this Kmart which makes it ever more enjoyable to work at.
2610	My days at work were often spent serving customers on the registers, providing good customer service so the customers had an enjoyable experience, and helping them with anything they couldn't find or other questions about the store or our products. \rI also worked occasionally as a customer greeter, which involved showing customers where items were located, checking bags, and returning stock that was left at the registers.\rI learnt a lot about customer service, and I have great communication skills after working there. I also became very quick at scanning and bagging items. \r The hardest part of the job was trying to provide a great experience for angry customers and turn their shopping experience around, and also dealing with verbal abuse every so often. Aside from that it was always a pleasant experience.\rMy favourite part of the job was the customers who came through who were in a great mood, I had some wonderful conversations with people while scanning their items, and there were a few regulars who came through my register that I could always have a good time with, while also performing my job. It put a smile on my face to know that they came to me because I made their time in the store better. \r The managers at Kmart were great, and I became close with the manager of the customer service desk and the other supervisors, as well as some team members who also worked on the registers. \r I had a great time there, but sadly due to the job being in Albury I had to leave.
5301	Well Bunnings have been good to me, I quit the job because I HATED THE 5:00 starts sometimes.\r This company runs like a well oiled machine, yes there are unhappy people that works here, but they don't have a choice, it's a job.\r With Bunnings you somewhat have complete control, in stock inventory, orders, etc. \r Unlike other companies I worked with, even if your a supervisor, you have to get authorization to order, even if its a tape measure. \r Bunnings mentality with their suppliers is this, WE ARE GOD, YOU DO WHAT WE WANT OR WE WILL NOT CARRY YOUR PRODUCT.\r Yes, that's how they operate. they have the buying power, biggest hardware chain in Australia. You better do what they say.\r Also Bunnings have this bank of hours for employees, this actually means.\r If you are a full time worker, they will pay you, your full time wage, but there are times they will make you go home. Because they will tell you they have no budget.\r Every day on morning meeting, the stores meets the projected daily sales, and they tell you no budget...that's a bit funny I think.\r Which means, on some days you  have to work on the hours they paid you, specially during the busy season.\r I know a LOT of team members hate this, but they can't say no.\r The great thing about Bunnings, you have job security, I see entire family working at Bunnings.\r They also give you stock every year if your full time, and also bonuses.\r You get a gift as well during christmas.\r That my Bunnings little review
1553	The work can be stressful at times, but if you are lucky enough to work with a good team as I was, the burden is substantially eased. \rOn occasion though, I was expected to work the whole floor by myself when the store I worked at decided to cuts costs by rostering less people on. This made it incredibly stressful to do my tasks, which range from; maintaining floor presentation, customer service (on floor, on 3 phones and price inquiries), and returns from service desk and fitting rooms.\r PROS\r*Great team\r*5% staff discount and 50% discount on work related items.\r*There is an opportunity for bonuses if the store does well\r*Flexible work/life balance\r*Make sure staff a safe at work and up-to-date on any training required\r CONS\r*Management changed every few months during my time employed.\r*Didn't get good penalty rates on Saturdays (at the time of employment). I work with another, smaller retailer as a casual which gave me much better Saturday rates so I did compare the two.\r*Can be stressful\r*Work is inconsistent as a casual and do not rely on them for regular work as a casual employee\r*As with many large retailers, they over hire and drop the casuals hours over time or take them off the roster completely (when of no use to them anymore)\r*Little opportunity for advancement as a casual\r*I noticed, in my short time, many junior age employees got work where the penalty rates were higher (after 8pm, Sundays, etc), more often.\r*Casuals are disposable
